hotel_id,hotel_name,city,star_rating,is_domestic,supplier_tier
HTL0001,"Kar, Deo and Chandran Hotel",Delhi,3,True,standard
HTL0002,Deep-Gill Hotel,Jaipur,3,True,premium
HTL0003,Krishnan PLC Hotel,Delhi,3,True,standard
HTL0004,Yogi Ltd Hotel,Bengaluru,2,True,premium
HTL0005,Gaba LLC Hotel,Pune,4,True,premium
HTL0006,Bains and Sons Hotel,Delhi,3,True,standard
HTL0007,Kapoor PLC Hotel,Bengaluru,4,True,standard
HTL0008,Tripathi-Tak Hotel,Bengaluru,5,True,budget
HTL0009,"Krishnamurthy, Hans and Devi Hotel",Hyderabad,3,True,standard
HTL0010,Dhaliwal-Mallick Hotel,Mumbai,3,True,standard
HTL0011,Bath Inc Hotel,Bengaluru,3,True,standard
HTL0012,"Brar, Bera and Bath Hotel",Mumbai,3,True,premium
HTL0013,"Bala, Mann and Wali Hotel",Ahmedabad,4,True,standard
HTL0014,"Balay, Hegde and Virk Hotel",Ahmedabad,4,True,standard
HTL0015,"Kadakia, Desai and Balay Hotel",Delhi,3,True,standard
HTL0016,Ramachandran-Seth Hotel,Kolkata,3,True,budget
HTL0017,"Rajagopal, Kata and Keer Hotel",Goa,5,True,premium
HTL0018,Singh LLC Hotel,Mumbai,3,True,premium
HTL0019,Sekhon-Comar Hotel,Hyderabad,4,True,standard
HTL0020,"Dhawan, Chad and Bumb Hotel",Mumbai,5,True,standard
HTL0021,"Kumer, Kulkarni and Bedi Hotel",Ahmedabad,3,True,standard
HTL0022,Halder Group Hotel,Bengaluru,4,True,budget
HTL0023,Dara Inc Hotel,Goa,5,True,budget
HTL0024,Chatterjee Group Hotel,Chennai,4,True,budget
HTL0025,"Biswas, Bhalla and Yogi Hotel",Goa,3,True,standard
HTL0026,"Ganesan, Dar and Chaudhary Hotel",Ahmedabad,3,True,standard
HTL0027,Setty Group Hotel,Kolkata,4,True,standard
HTL0028,Bhat-Virk Hotel,Mumbai,5,True,standard
HTL0029,Bir-Krishna Hotel,Ahmedabad,2,True,standard
